cityid,cityname,lattitude,longitude
51285,"Elephanta Caves Po,Raigarh(MH),400001,MAHARASHTRA",18.91087532,72.81947327
51286,"M.P.T.,Mumbai,400001,MAHARASHTRA",18.91087532,72.81947327
51287,"Stock Exchange,Mumbai,400001,MAHARASHTRA",18.91087532,72.81947327
51288,"Tajmahal,Mumbai,400001,MAHARASHTRA",18.91087532,72.81947327
51289,"Town Hall (Mumbai),Mumbai,400001,MAHARASHTRA",18.91087532,72.81947327
51290,"Mumbai,Mumbai,400001,MAHARASHTRA",18.91087532,72.81947327
51291,"Kalbadevi,Mumbai,400002,MAHARASHTRA",18.95601463,72.8351593
51292,"Ramwadi,Mumbai,400002,MAHARASHTRA",18.95601463,72.8351593
51293,"S. C. Court,Mumbai,400002,MAHARASHTRA",18.95601463,72.8351593
51294,"Thakurdwar,Mumbai,400002,MAHARASHTRA",18.95601463,72.8351593
51295,"B.P.Lane,Mumbai,400003,MAHARASHTRA",18.95606422,72.83252716
51296,"Mandvi (Mumbai),Mumbai,400003,MAHARASHTRA",18.95606422,72.83252716
51297,"Masjid,Mumbai,400003,MAHARASHTRA",18.95606422,72.83252716
51298,"Null Bazar,Mumbai,400003,MAHARASHTRA",18.95606422,72.83252716
51299,"Ambewadi (Mumbai),Mumbai,400004,MAHARASHTRA",18.96246529,72.82714081
51300,"Charni Road,Mumbai,400004,MAHARASHTRA",18.96246529,72.82714081
51301,"Chaupati,Mumbai,400004,MAHARASHTRA",18.96246529,72.82714081
51302,"Girgaon,Mumbai,400004,MAHARASHTRA",18.96246529,72.82714081
51303,"Madhavbaug,Mumbai,400004,MAHARASHTRA",18.96246529,72.82714081
51304,"Opera House,Mumbai,400004,MAHARASHTRA",18.96246529,72.82714081
51305,"Asvini,Mumbai,400005,MAHARASHTRA",18.91686249,72.82431793
51306,"Colaba Bazar,Mumbai,400005,MAHARASHTRA",18.91686249,72.82431793
51307,"Colaba,Mumbai,400005,MAHARASHTRA",18.91686249,72.82431793
51308,"Holiday Camp,Mumbai,400005,MAHARASHTRA",18.91686249,72.82431793
51309,"V.W.T.C.,Mumbai,400005,MAHARASHTRA",18.91686249,72.82431793
51310,"Malabar Hill,Mumbai,400006,MAHARASHTRA",18.94987297,72.79840088
51311,"Bharat Nagar (Mumbai),Mumbai,400007,MAHARASHTRA",18.96634674,72.81491089
51312,"Grant Road,Mumbai,400007,MAHARASHTRA",18.96634674,72.81491089
51313,"N.S.Patkar Marg,Mumbai,400007,MAHARASHTRA",18.96634674,72.81491089
51314,"S V Marg,Mumbai,400007,MAHARASHTRA",18.96634674,72.81491089
51315,"Tardeo,Mumbai,400007,MAHARASHTRA",18.96634674,72.81491089
51316,"Falkland Road,Mumbai,400008,MAHARASHTRA",18.96166611,72.83226013
51317,"J.J.Hospital,Mumbai,400008,MAHARASHTRA",18.96166611,72.83226013
51318,"Kamathipura,Mumbai,400008,MAHARASHTRA",18.96166611,72.83226013
51319,"M A Marg,Mumbai,400008,MAHARASHTRA",18.96166611,72.83226013
51320,"Mumbai Central,Mumbai,400008,MAHARASHTRA",18.96166611,72.83226013
51321,"Chinchbunder,Mumbai,400009,MAHARASHTRA",18.95785332,72.83580017
51322,"Noor Baug,Mumbai,400009,MAHARASHTRA",18.95785332,72.83580017
51323,"Princess Dock,Mumbai,400009,MAHARASHTRA",18.95785332,72.83580017
51324,"Dockyard Road,Mumbai,400010,MAHARASHTRA",18.9650116,72.83919525
51325,"Mazgaon Dock,Mumbai,400010,MAHARASHTRA",18.9650116,72.83919525
51326,"Mazgaon Road,Mumbai,400010,MAHARASHTRA",18.9650116,72.83919525
51327,"Mazgaon,Mumbai,400010,MAHARASHTRA",18.9650116,72.83919525
51328,"V K Bhavan,Mumbai,400010,MAHARASHTRA",18.9650116,72.83919525
51329,"Agripada,Mumbai,400011,MAHARASHTRA",19.00865555,72.86026001
51330,"BPC Jacob Circle,Mumbai,400011,MAHARASHTRA",19.00865555,72.86026001
51331,"Chinchpokli,Mumbai,400011,MAHARASHTRA",19.00865555,72.86026001
51332,"Haines Road,Mumbai,400011,MAHARASHTRA",19.00865555,72.86026001
51333,"Jacob Circle,Mumbai,400011,MAHARASHTRA",19.00865555,72.86026001
51334,"BEST STaff Quarters,Mumbai,400012,MAHARASHTRA",19.00027466,72.84004211
51335,"Chamarbaug,Mumbai,400012,MAHARASHTRA",19.00027466,72.84004211
51336,"Haffkin Institute,Mumbai,400012,MAHARASHTRA",19.00027466,72.84004211
51337,"Lal Baug,Mumbai,400012,MAHARASHTRA",19.00027466,72.84004211
51338,"Parel Naka,Mumbai,400012,MAHARASHTRA",19.00027466,72.84004211
51339,"Parel Rly Work Shop,Mumbai,400012,MAHARASHTRA",19.00027466,72.84004211
51340,"Parel,Mumbai,400012,MAHARASHTRA",19.00027466,72.84004211
51341,"Delisle Road,Mumbai,400013,MAHARASHTRA",19.00498009,72.82817841
51342,"Dadar Colony,Mumbai,400014,MAHARASHTRA",19.02124023,72.84711456
51343,"Dadar,Mumbai,400014,MAHARASHTRA",19.02124023,72.84711456
51344,"Naigaon (Mumbai),Mumbai,400014,MAHARASHTRA",19.02124023,72.84711456
51345,"Sewri,Mumbai,400015,MAHARASHTRA",18.99974632,72.85149384
51346,"Kapad Bazar,Mumbai,400016,MAHARASHTRA",19.03606796,72.84166718
51347,"Mahim Bazar,Mumbai,400016,MAHARASHTRA",19.03606796,72.84166718
51348,"Mahim East,Mumbai,400016,MAHARASHTRA",19.03606796,72.84166718
51349,"Mahim,Mumbai,400016,MAHARASHTRA",19.03606796,72.84166718
51350,"Mori Road,Mumbai,400016,MAHARASHTRA",19.03606796,72.84166718
51351,"Dharavi Road,Mumbai,400017,MAHARASHTRA",19.04419518,72.85713196
51352,"Dharavi,Mumbai,400017,MAHARASHTRA",19.04419518,72.85713196
51353,"Worli Naka,Mumbai,400018,MAHARASHTRA",19.00136185,72.820755
51354,"Worli,Mumbai,400018,MAHARASHTRA",19.00136185,72.820755
51355,"Matunga,Mumbai,400019,MAHARASHTRA",19.02659798,72.85696411
51356,"Central Building,Mumbai,400020,MAHARASHTRA",18.94812965,72.82733154
51357,"Churchgate,Mumbai,400020,MAHARASHTRA",18.94812965,72.82733154
51358,"Marine Lines,Mumbai,400020,MAHARASHTRA",18.94812965,72.82733154
51359,"Nariman Point,Mumbai,400021,MAHARASHTRA",18.92690277,72.82273102
51360,"New Yogakshema,Mumbai,400021,MAHARASHTRA",18.92690277,72.82273102
